"Profile","Region","guardDutyStatus","configStatus"
"fennia-analytics-dv-euwest1","eu-central-1","Enabled","Enabled"
"fennia-analytics-dv-euwest1","eu-west-1","Enabled","Enabled"
"fennia-analytics-dv-euwest1","us-east-1","Enabled","Enabled"
"fennia-analytics-pd-euwest1","eu-central-1","Enabled","Enabled"
"fennia-analytics-pd-euwest1","eu-west-1","Enabled","Enabled"
"fennia-analytics-pd-euwest1","us-east-1","Enabled","Enabled"
"fennia-analytics-qa-euwest1","eu-central-1","Enabled","Enabled"
"fennia-analytics-qa-euwest1","eu-west-1","Enabled","Enabled"
"fennia-analytics-qa-euwest1","us-east-1","Enabled","Enabled"
"fennia-audit-pd-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-audit-pd-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-audit-pd-eucentral1","us-east-1","Enabled","Enabled"
"fennia-cgi-sb-euwest1-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-cgi-sb-euwest1-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-cgi-sb-euwest1-eucentral1","us-east-1","Enabled","Enabled"
"fennia-data-pd-euwest1","eu-central-1","Enabled","Enabled"
"fennia-data-pd-euwest1","eu-west-1","Enabled","Enabled"
"fennia-data-pd-euwest1","us-east-1","Enabled","Enabled"
"fennia-data-tl-euwest1","eu-central-1","Enabled","Enabled"
"fennia-data-tl-euwest1","eu-west-1","Enabled","Enabled"
"fennia-data-tl-euwest1","us-east-1","Enabled","Enabled"
"fennia-datasecurity-sb-euwest1","eu-central-1","Enabled","Enabled"
"fennia-datasecurity-sb-euwest1","eu-west-1","Enabled","Enabled"
"fennia-datasecurity-sb-euwest1","us-east-1","Enabled","Enabled"
"fennia-fenniafi-dv-euwest1","eu-central-1","Enabled","Enabled"
"fennia-fenniafi-dv-euwest1","eu-west-1","Enabled","Enabled"
"fennia-fenniafi-dv-euwest1","us-east-1","Enabled","Enabled"
"fennia-fenniafi-pd-euwest1","eu-central-1","Enabled","Enabled"
"fennia-fenniafi-pd-euwest1","eu-west-1","Enabled","Enabled"
"fennia-fenniafi-pd-euwest1","us-east-1","Enabled","Enabled"
"fennia-fenniafi-te-euwest1","eu-central-1","Enabled","Enabled"
"fennia-fenniafi-te-euwest1","eu-west-1","Enabled","Enabled"
"fennia-fenniafi-te-euwest1","us-east-1","Enabled","Enabled"
"fennia-integration-pd-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-integration-pd-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-integration-pd-eucentral1","us-east-1","Enabled","Enabled"
"fennia-integration-sb-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-integration-sb-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-integration-sb-eucentral1","us-east-1","Enabled","Enabled"
"fennia-kompassi-dv-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-kompassi-dv-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-kompassi-dv-eucentral1","us-east-1","Enabled","Enabled"
"fennia-kompassi-pd-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-kompassi-pd-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-kompassi-pd-eucentral1","us-east-1","Enabled","Enabled"
"fennia-kompassi-sb-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-kompassi-sb-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-kompassi-sb-eucentral1","us-east-1","Enabled","Enabled"
"fennia-kompassi-te-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-kompassi-te-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-kompassi-te-eucentral1","us-east-1","Enabled","Enabled"
"fennia-laske-osta-dv-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-laske-osta-dv-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-laske-osta-dv-eucentral1","us-east-1","Enabled","Enabled"
"fennia-laske-osta-pd-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-laske-osta-pd-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-laske-osta-pd-eucentral1","us-east-1","Enabled","Enabled"
"fennia-laske-osta-te-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-laske-osta-te-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-laske-osta-te-eucentral1","us-east-1","Enabled","Enabled"
"fennia-liideri-dv-euwest1","eu-central-1","Enabled","Enabled"
"fennia-liideri-dv-euwest1","eu-west-1","Enabled","Enabled"
"fennia-liideri-dv-euwest1","us-east-1","Enabled","Enabled"
"fennia-liideri-pd-euwest1","eu-central-1","Enabled","Enabled"
"fennia-liideri-pd-euwest1","eu-west-1","Enabled","Enabled"
"fennia-liideri-pd-euwest1","us-east-1","Enabled","Enabled"
"fennia-liit-te-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-liit-te-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-liit-te-eucentral1","us-east-1","Enabled","Enabled"
"fennia-logarchive-pd-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-logarchive-pd-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-logarchive-pd-eucentral1","us-east-1","Enabled","Enabled"
"fennia-master-pd-eucentral1","eu-central-1","Enabled","Not Enabled"
"fennia-master-pd-eucentral1","eu-west-1","Enabled","Not Enabled"
"fennia-master-pd-eucentral1","us-east-1","Enabled","Not Enabled"
